,year,value,metrics,classe
319,2016,0.9,Accuracy User,Water
320,2017,0.95,Accuracy User,Forest
321,2017,0.13,Accuracy User,Shrubland
322,2017,0.44,Accuracy User,Flooded Forest
323,2017,0.56,Accuracy User,Wetland
324,2017,0.69,Accuracy User,Natural Grassland
325,2017,0.84,Accuracy User,Pastureland
326,2017,0.67,Accuracy User,Cropland
327,2017,0.0,Accuracy User,Bareland and Impervious
328,2017,0.18,Accuracy User,Rock Outcrop
329,2017,0.9,Accuracy User,Water
330,2018,0.95,Accuracy User,Forest
331,2018,0.13,Accuracy User,Shrubland
332,2018,0.45,Accuracy User,Flooded Forest
333,2018,0.58,Accuracy User,Wetland
334,2018,0.7,Accuracy User,Natural Grassland
335,2018,0.84,Accuracy User,Pastureland
336,2018,0.68,Accuracy User,Cropland
337,2018,0.0,Accuracy User,Bareland and Impervious
338,2018,0.18,Accuracy User,Rock Outcrop
339,2018,0.9,Accuracy User,Water
340,2019,0.94,Accuracy User,Forest
341,2019,0.12,Accuracy User,Shrubland
342,2019,0.44,Accuracy User,Flooded Forest
343,2019,0.64,Accuracy User,Wetland
344,2019,0.68,Accuracy User,Natural Grassland
345,2019,0.85,Accuracy User,Pastureland
346,2019,0.6,Accuracy User,Cropland
347,2019,0.0,Accuracy User,Bareland and Impervious
348,2019,0.18,Accuracy User,Rock Outcrop
349,2019,0.89,Accuracy User,Water
350,2020,0.94,Accuracy User,Forest
351,2020,0.11,Accuracy User,Shrubland
352,2020,0.43,Accuracy User,Flooded Forest
353,2020,0.64,Accuracy User,Wetland
354,2020,0.66,Accuracy User,Natural Grassland
355,2020,0.86,Accuracy User,Pastureland
356,2020,0.61,Accuracy User,Cropland
357,2020,0.0,Accuracy User,Bareland and Impervious
358,2020,0.18,Accuracy User,Rock Outcrop
359,2020,0.89,Accuracy User,Water
360,2021,0.94,Accuracy User,Forest
361,2021,0.13,Accuracy User,Shrubland
362,2021,0.42,Accuracy User,Flooded Forest
363,2021,0.63,Accuracy User,Wetland
364,2021,0.66,Accuracy User,Natural Grassland
365,2021,0.86,Accuracy User,Pastureland
366,2021,0.61,Accuracy User,Cropland
367,2021,0.0,Accuracy User,Bareland and Impervious
368,2021,0.18,Accuracy User,Rock Outcrop
369,2021,0.9,Accuracy User,Water
370,1985,0.97,Accuracy Producer,Forest
371,1985,0.33,Accuracy Producer,Shrubland
372,1985,0.19,Accuracy Producer,Flooded Forest
373,1985,0.26,Accuracy Producer,Wetland
374,1985,0.58,Accuracy Producer,Natural Grassland
375,1985,0.83,Accuracy Producer,Pastureland
376,1985,0.14,Accuracy Producer,Cropland
377,1985,0.0,Accuracy Producer,Bareland and Impervious
378,1985,0.17,Accuracy Producer,Rock Outcrop
379,1985,0.84,Accuracy Producer,Water
380,1986,0.97,Accuracy Producer,Forest
381,1986,0.33,Accuracy Producer,Shrubland
382,1986,0.17,Accuracy Producer,Flooded Forest
383,1986,0.23,Accuracy Producer,Wetland
384,1986,0.59,Accuracy Producer,Natural Grassland
385,1986,0.85,Accuracy Producer,Pastureland
386,1986,0.29,Accuracy Producer,Cropland
387,1986,0.0,Accuracy Producer,Bareland and Impervious
388,1986,0.19,Accuracy Producer,Rock Outcrop
389,1986,0.81,Accuracy Producer,Water
390,1987,0.97,Accuracy Producer,Forest
391,1987,0.3,Accuracy Producer,Shrubland
392,1987,0.17,Accuracy Producer,Flooded Forest
393,1987,0.21,Accuracy Producer,Wetland
394,1987,0.59,Accuracy Producer,Natural Grassland
395,1987,0.89,Accuracy Producer,Pastureland
396,1987,0.4,Accuracy Producer,Cropland
397,1987,0.0,Accuracy Producer,Bareland and Impervious
398,1987,0.19,Accuracy Producer,Rock Outcrop
399,1987,0.81,Accuracy Producer,Water
400,1988,0.96,Accuracy Producer,Forest
401,1988,0.31,Accuracy Producer,Shrubland
402,1988,0.16,Accuracy Producer,Flooded Forest
403,1988,0.21,Accuracy Producer,Wetland
404,1988,0.59,Accuracy Producer,Natural Grassland
405,1988,0.88,Accuracy Producer,Pastureland
406,1988,0.33,Accuracy Producer,Cropland
407,1988,0.0,Accuracy Producer,Bareland and Impervious
408,1988,0.19,Accuracy Producer,Rock Outcrop
409,1988,0.82,Accuracy Producer,Water
410,1989,0.96,Accuracy Producer,Forest
411,1989,0.33,Accuracy Producer,Shrubland
412,1989,0.16,Accuracy Producer,Flooded Forest
413,1989,0.21,Accuracy Producer,Wetland
414,1989,0.59,Accuracy Producer,Natural Grassland
415,1989,0.88,Accuracy Producer,Pastureland
416,1989,0.4,Accuracy Producer,Cropland
417,1989,0.0,Accuracy Producer,Bareland and Impervious
418,1989,0.19,Accuracy Producer,Rock Outcrop
