,year,value,metrics,classe
510,2020,0.96,Accuracy Producer,Water
511,2021,0.97,Accuracy Producer,Forest
512,2021,0.35,Accuracy Producer,Shrubland
513,2021,0.32,Accuracy Producer,Wetland
514,2021,0.56,Accuracy Producer,Natural Grassland
515,2021,0.88,Accuracy Producer,Pastureland
516,2021,0.88,Accuracy Producer,Cropland
517,2021,0.93,Accuracy Producer,Water
518,1985,0.02,Comission Error,Forest
519,1985,0.89,Comission Error,Shrubland
520,1985,0.44,Comission Error,Wetland
521,1985,0.37,Comission Error,Natural Grassland
522,1985,0.42,Comission Error,Pastureland
523,1985,0.94,Comission Error,Cropland
524,1985,0.11,Comission Error,Water
525,1986,0.01,Comission Error,Forest
526,1986,0.9,Comission Error,Shrubland
527,1986,0.42,Comission Error,Wetland
528,1986,0.42,Comission Error,Natural Grassland
529,1986,0.4,Comission Error,Pastureland
530,1986,0.89,Comission Error,Cropland
531,1986,0.11,Comission Error,Water
532,1987,0.01,Comission Error,Forest
533,1987,0.9,Comission Error,Shrubland
534,1987,0.47,Comission Error,Wetland
535,1987,0.44,Comission Error,Natural Grassland
536,1987,0.39,Comission Error,Pastureland
537,1987,0.9,Comission Error,Cropland
538,1987,0.09,Comission Error,Water
539,1988,0.01,Comission Error,Forest
540,1988,0.9,Comission Error,Shrubland
541,1988,0.43,Comission Error,Wetland
542,1988,0.46,Comission Error,Natural Grassland
543,1988,0.36,Comission Error,Pastureland
544,1988,0.95,Comission Error,Cropland
545,1988,0.1,Comission Error,Water
546,1989,0.01,Comission Error,Forest
547,1989,0.9,Comission Error,Shrubland
548,1989,0.42,Comission Error,Wetland
549,1989,0.45,Comission Error,Natural Grassland
550,1989,0.38,Comission Error,Pastureland
551,1989,0.91,Comission Error,Cropland
552,1989,0.09,Comission Error,Water
553,1990,0.01,Comission Error,Forest
554,1990,0.9,Comission Error,Shrubland
555,1990,0.41,Comission Error,Wetland
556,1990,0.43,Comission Error,Natural Grassland
557,1990,0.38,Comission Error,Pastureland
558,1990,0.88,Comission Error,Cropland
559,1990,0.09,Comission Error,Water
560,1991,0.01,Comission Error,Forest
561,1991,0.89,Comission Error,Shrubland
562,1991,0.45,Comission Error,Wetland
563,1991,0.44,Comission Error,Natural Grassland
564,1991,0.36,Comission Error,Pastureland
565,1991,0.92,Comission Error,Cropland
566,1991,0.08,Comission Error,Water
567,1992,0.02,Comission Error,Forest
568,1992,0.9,Comission Error,Shrubland
569,1992,0.47,Comission Error,Wetland
570,1992,0.42,Comission Error,Natural Grassland
571,1992,0.34,Comission Error,Pastureland
572,1992,0.93,Comission Error,Cropland
573,1992,0.1,Comission Error,Water
574,1993,0.02,Comission Error,Forest
575,1993,0.91,Comission Error,Shrubland
576,1993,0.47,Comission Error,Wetland
577,1993,0.43,Comission Error,Natural Grassland
578,1993,0.33,Comission Error,Pastureland
579,1993,0.93,Comission Error,Cropland
580,1993,0.09,Comission Error,Water
581,1994,0.01,Comission Error,Forest
582,1994,0.91,Comission Error,Shrubland
583,1994,0.46,Comission Error,Wetland
584,1994,0.45,Comission Error,Natural Grassland
585,1994,0.31,Comission Error,Pastureland
586,1994,0.94,Comission Error,Cropland
587,1994,0.09,Comission Error,Water
588,1995,0.02,Comission Error,Forest
589,1995,0.9,Comission Error,Shrubland
590,1995,0.47,Comission Error,Wetland
